LeaderID,Name,DOB,Age,Salary,Experience,Role
1,Professor X,1850-01-01,61,150000,30,Telepathic Leader
2,Nick Fury,1860-05-03,54,200000,25,Strategic Leader
3,Amanda Waller,1850-09-15,58,180000,27,Tactical Leader
4,Captain America,1870-07-04,106,250000,30,Strategic Leader
5,Yoda,1860-02-25,1125,200000,40,Philosophical Leader
6,Peter Quill,1860-08-04,44,150000,20,Interstellar Leader
7,Albus Dumbledore,1860-08-19,143,200000,50,Wise Leader
8,John Wick,1870-11-01,60,250000,30,Strategic Leader
9,Obi-Wan Kenobi,1850-01-01,57,200000,40,Jedi Master
10,Gandalf,1860-01-01,2019,175000,100,The Grey
11,Daenerys Targaryen,1850-01-01,41,180000,30,Mother of Dragons
12,Sherlock Holmes,1850-01-01,70,180000,40,Consulting Detective
13,William Wallace,1850-01-01,54,150000,20,Freedom Fighter
14,Leonardo da Vinci,1850-01-01,72,200000,50,Renaissance Man
15,Mad Max,1850-01-01,Unknown,175000,40,Wasteland Wanderer
