VillainID,Name,Age,DOB,People_Killed,Archnemesis
1,Dr. Doom,40,1890-06-20,200,1
2,Red Skull,50,1880-09-12,150,2
3,Thanos,1000,1824-03-21,5000,3
4,Harley Quinn,30,1894-12-05,100,4
5,Maleficent,400,1820-08-14,1000,5
6,Emperor Palpatine,85,1897-04-29,3000,6
7,Cruella de Vil,60,1874-11-17,200,7
8,Loki,1500,1820-12-25,2500,8
9,Hannibal Lecter,60,1864-01-20,50,9
10,The Joker,40,1890-07-01,300,10
11,Doctor Octopus,60,1894-10-10,400,11
12,Scarecrow,45,1899-03-02,150,12
13,Norman Osborn,55,1869-05-20,350,13
14,Mr. Freeze,50,1874-12-08,200,14
15,Catwoman,35,1899-02-14,100,15
